idx,First_pokemon,Second_pokemon,Winner,Loser
12271,615,162,162,615
12272,404,473,473,404
12273,411,277,277,411
12274,763,239,239,763
12275,719,4,4,719
12276,157,135,135,157
12277,257,634,634,257
12278,48,10,48,10
12279,218,48,48,218
12280,627,712,712,627
12281,458,159,159,458
12282,325,164,164,325
12283,771,571,571,771
12284,795,693,795,693
12285,374,85,85,374
12286,190,270,270,190
12287,647,597,647,597
12288,47,185,185,47
12289,395,555,555,395
12290,443,133,133,443
12291,61,568,61,568
12292,539,588,588,539
12293,640,97,97,640
12294,142,362,362,142
12295,316,538,316,538
12296,612,255,255,612
12297,237,223,223,237
12298,443,3,3,443
12299,626,704,704,626
12300,53,746,53,746
12301,160,126,126,160
12302,134,769,134,769
12303,249,51,249,51
12304,560,7,7,560
12305,439,632,632,439
12306,785,443,443,785
12307,417,780,780,417
12308,73,634,634,73
12309,746,159,159,746
12310,465,93,93,465
12311,323,451,451,323
12312,197,261,261,197
12313,562,496,496,562
12314,532,529,532,529
12315,409,487,409,487
12316,216,550,550,216
12317,324,31,31,324
12318,627,658,658,627
12319,684,426,426,684
12320,9,781,9,781
12321,525,439,525,439
12322,248,200,248,200
12323,116,259,259,116
12324,604,197,604,197
12325,180,748,748,180
12326,464,253,253,464
12327,536,272,272,536
12328,373,464,464,373
12329,519,163,163,519
12330,401,572,572,401
12331,511,319,511,319
12332,590,771,590,771
12333,45,444,444,45
12334,210,789,789,210
12335,60,107,60,107
12336,22,217,22,217
12337,334,486,334,486
12338,793,207,793,207
12339,400,710,710,400
12340,16,290,16,290
12341,748,566,748,566
12342,185,644,185,644
12343,133,232,133,232
12344,48,320,48,320
12345,579,262,262,579
12346,167,596,596,167
12347,65,724,724,65
12348,264,764,264,764
12349,709,315,709,315
12350,521,746,521,746
12351,614,677,677,614
12352,514,206,206,514
12353,722,19,19,722
12354,467,466,467,466
12355,791,793,793,791
12356,3,762,3,762
12357,570,2,570,2
12358,630,95,95,630
12359,333,457,333,457
12360,515,157,157,515
12361,246,196,246,196
12362,551,130,551,130
12363,418,19,418,19
12364,242,542,542,242
12365,225,799,799,225
12366,531,771,771,531
12367,70,309,70,309
12368,667,137,137,667
12369,62,67,67,62
12370,688,360,688,360
12371,48,28,28,48
12372,61,608,608,61
12373,507,475,475,507
12374,784,436,436,784
12375,215,356,215,356
12376,178,545,545,178
12377,118,574,574,118
12378,765,787,765,787
12379,572,698,572,698
12380,768,136,136,768
12381,216,137,137,216
12382,58,329,58,329
12383,465,427,427,465
12384,364,101,101,364
12385,344,109,109,344
12386,511,652,511,652
12387,634,211,634,211
12388,431,278,431,278
12389,61,465,465,61
12390,751,280,751,280
12391,232,725,232,725
12392,669,114,114,669
12393,719,741,741,719
12394,373,342,342,373
12395,779,508,508,779
12396,125,257,125,257
12397,415,323,415,323
12398,729,68,729,68
12399,574,762,574,762
12400,740,545,545,740
12401,270,303,270,303
12402,507,318,507,318
12403,263,705,263,705
12404,339,263,263,339
12405,372,747,747,372
12406,643,800,643,800
12407,135,123,135,123
12408,103,32,103,32
12409,544,212,212,544
12410,165,312,165,312
12411,320,482,320,482
12412,288,100,100,288
12413,62,666,62,666
12414,397,701,701,397
12415,73,310,310,73
12416,621,254,254,621
12417,276,573,276,573
12418,401,504,401,504
12419,695,113,695,113
12420,738,576,576,738
12421,157,232,232,157
12422,689,205,205,689
12423,569,113,569,113
12424,644,255,255,644
12425,740,629,629,740
12426,587,541,541,587
12427,472,678,472,678
12428,165,789,165,789
12429,255,615,255,615
12430,552,659,552,659
12431,548,301,301,548
12432,414,645,414,645
12433,748,626,626,748
12434,638,373,638,373
12435,260,770,260,770
12436,278,254,254,278
12437,798,681,681,798
12438,201,38,38,201
12439,330,353,330,353
12440,195,654,654,195
12441,422,216,422,216
12442,161,649,649,161
12443,790,478,790,478
12444,371,65,65,371
12445,71,619,71,619
12446,448,307,307,448
12447,444,598,444,598
12448,328,149,149,328
12449,476,678,476,678
12450,212,540,540,212
12451,529,65,65,529
12452,268,184,184,268
12453,656,434,656,434
12454,576,86,576,86
12455,560,643,643,560
12456,268,563,563,268
12457,560,204,204,560
12458,577,251,251,577
12459,679,373,679,373
12460,690,689,690,689
12461,390,406,390,406
12462,613,214,214,613
12463,379,743,743,379
12464,654,735,735,654
12465,177,519,177,519
12466,635,250,635,250
12467,490,353,490,353
12468,756,768,756,768
12469,574,217,574,217
12470,555,759,555,759
12471,380,187,380,187
12472,295,406,406,295
12473,533,591,533,591
12474,214,758,214,758
12475,540,490,540,490
12476,560,125,125,560
12477,462,676,462,676
12478,106,660,106,660
12479,25,431,431,25
12480,374,621,621,374
12481,510,99,99,510
12482,480,743,480,743
12483,215,152,152,215
12484,450,34,34,450
12485,471,242,242,471
12486,297,620,620,297
12487,538,55,538,55
12488,676,589,589,676
12489,778,269,778,269
12490,631,708,708,631
12491,36,744,744,36
12492,176,572,572,176
12493,642,11,11,642
12494,54,426,426,54
12495,712,718,718,712
12496,623,174,623,174
12497,353,564,564,353
12498,680,179,179,680
12499,216,130,130,216
12500,71,461,461,71
12501,545,638,545,638
12502,799,644,799,644
12503,324,647,647,324
12504,561,353,561,353
12505,323,35,35,323
12506,586,643,643,586
12507,751,301,301,751
12508,395,255,255,395
12509,238,642,642,238
12510,194,578,194,578
12511,128,784,128,784
12512,514,365,514,365
12513,598,15,598,15
12514,165,239,165,239
12515,534,198,534,198
12516,557,580,557,580
12517,590,560,590,560
12518,300,783,783,300
12519,41,291,291,41
12520,665,687,687,665
12521,154,538,154,538
12522,738,359,359,738
12523,416,528,528,416
12524,122,393,393,122
12525,73,178,178,73
12526,323,642,642,323
12527,772,184,184,772
12528,101,350,350,101
12529,307,384,307,384
12530,285,485,285,485
12531,26,399,26,399
12532,529,669,529,669
12533,525,262,525,262
12534,339,712,339,712
12535,762,34,34,762
12536,461,544,544,461
12537,490,454,490,454
12538,141,487,141,487
12539,258,57,57,258
12540,373,160,373,160
12541,379,742,742,379
12542,629,762,629,762
12543,680,218,218,680
12544,193,719,193,719
12545,416,735,735,416
12546,411,249,249,411
12547,161,405,161,405
12548,522,574,574,522
12549,433,444,444,433
12550,593,307,307,593
12551,225,787,787,225
12552,424,161,424,161
12553,772,392,772,392
12554,389,678,678,389
12555,659,476,476,659
12556,554,394,394,554
12557,694,23,694,23
12558,758,795,795,758
12559,667,670,670,667
12560,380,737,737,380
12561,730,649,649,730
12562,691,443,443,691
12563,154,396,154,396
12564,450,40,40,450
12565,139,339,139,339
12566,266,450,450,266
12567,111,307,307,111
12568,497,244,244,497
12569,654,592,592,654
12570,739,16,16,739
12571,360,407,407,360
12572,110,109,110,109
12573,265,4,265,4
12574,194,74,74,194
12575,798,514,798,514
12576,621,334,334,621
12577,63,120,63,120
12578,754,774,774,754
12579,398,156,398,156
12580,138,278,138,278
12581,612,165,165,612
12582,314,134,314,134
12583,355,408,408,355
12584,209,588,588,209
12585,92,359,92,359
12586,778,290,778,290
12587,500,80,80,500
12588,691,374,691,374
12589,783,551,551,783
12590,645,406,406,645
12591,551,467,467,551
12592,635,381,635,381
12593,296,799,799,296
12594,324,330,330,324
12595,640,335,335,640
12596,116,161,116,161
12597,634,378,634,378
12598,646,768,646,768
12599,654,166,166,654
12600,522,590,522,590
12601,412,184,412,184
12602,625,681,681,625
12603,495,721,495,721
12604,255,709,709,255
12605,4,205,205,4
12606,481,526,481,526
12607,357,502,502,357
12608,227,557,557,227
12609,48,484,48,484
12610,269,291,269,291
12611,75,151,151,75
12612,748,164,164,748
12613,498,146,498,146
12614,562,687,687,562
12615,164,708,164,708
12616,31,457,31,457
12617,470,249,249,470
12618,93,355,93,355
12619,456,613,613,456
12620,270,705,705,270
12621,174,599,174,599
12622,449,60,60,449
12623,110,716,110,716
12624,608,154,154,608
12625,153,175,153,175
12626,108,504,108,504
12627,193,444,444,193
12628,507,263,263,507
12629,637,276,276,637
12630,389,135,135,389
12631,89,484,484,89
12632,369,438,438,369
12633,15,390,15,390
12634,382,648,648,382
12635,702,121,702,121
12636,403,753,403,753
12637,361,758,758,361
12638,182,294,294,182
12639,108,95,108,95
12640,105,361,361,105
12641,612,775,612,775
12642,284,462,462,284
12643,723,448,723,448
12644,237,268,268,237
12645,330,303,303,330
12646,135,336,135,336
12647,684,797,797,684
12648,533,712,712,533
12649,262,662,262,662
12650,26,487,487,26
12651,136,395,136,395
12652,385,598,598,385
12653,344,317,317,344
12654,239,277,239,277
12655,387,224,387,224
12656,477,742,477,742
12657,254,202,254,202
12658,735,730,735,730
12659,106,521,521,106
12660,149,688,688,149
12661,32,431,32,431
12662,23,711,23,711
12663,309,411,309,411
12664,423,77,423,77
12665,402,435,435,402
12666,401,604,401,604
12667,185,557,557,185
12668,17,116,116,17
12669,662,24,24,662
12670,164,355,164,355
12671,134,542,542,134
12672,216,72,72,216
12673,451,597,451,597
12674,752,557,557,752
12675,742,716,716,742
12676,57,630,57,630
12677,210,416,416,210
12678,281,500,281,500
12679,781,147,147,781
12680,667,794,794,667
12681,487,452,487,452
12682,163,461,163,461
12683,20,145,20,145
12684,748,200,748,200
12685,149,175,175,149
12686,277,596,596,277
12687,197,260,260,197
12688,113,608,608,113
12689,62,206,206,62
12690,158,732,732,158
12691,416,632,632,416
12692,767,612,612,767
12693,617,264,264,617
12694,520,600,600,520
12695,540,573,540,573
12696,111,497,497,111
12697,530,451,451,530
12698,669,783,783,669
12699,26,293,26,293
12700,442,533,533,442
12701,659,396,396,659
12702,439,475,475,439
12703,149,116,116,149
12704,749,797,797,749
12705,515,406,515,406
12706,675,758,758,675
12707,96,610,96,610
12708,681,143,681,143
12709,713,114,713,114
12710,257,100,100,257
12711,390,490,490,390
12712,279,357,279,357
12713,784,166,166,784
12714,754,231,754,231
12715,796,439,796,439
12716,665,736,736,665
12717,529,98,98,529
12718,642,560,560,642
12719,534,789,534,789
12720,564,171,171,564
12721,514,566,514,566
12722,334,661,334,661
12723,164,561,164,561
12724,377,469,469,377
12725,277,79,79,277
12726,143,388,388,143
12727,7,246,7,246
12728,214,730,214,730
12729,348,353,348,353
12730,280,471,280,471
12731,430,74,430,74
12732,438,346,438,346
12733,363,306,306,363
12734,250,88,250,88
12735,399,310,310,399
12736,6,150,6,150
12737,231,167,167,231
12738,403,216,216,403
12739,756,47,756,47
12740,206,289,206,289
12741,610,318,610,318
12742,130,712,712,130
12743,542,186,542,186
12744,328,20,20,328
12745,730,496,496,730
12746,353,477,477,353
12747,37,704,704,37
12748,105,11,11,105
12749,93,648,93,648
12750,490,437,490,437
12751,26,684,684,26
12752,769,117,769,117
12753,639,266,266,639
12754,607,603,603,607
12755,483,352,483,352
12756,341,23,23,341
12757,690,309,690,309
12758,278,751,751,278
12759,362,613,362,613
12760,4,154,154,4
12761,576,39,576,39
12762,493,372,493,372
12763,383,684,684,383
12764,262,284,284,262
12765,387,128,387,128
12766,736,272,272,736
12767,390,175,175,390
12768,767,777,777,767
12769,501,422,422,501
12770,777,505,505,777
12771,438,668,438,668
12772,660,128,660,128
12773,95,603,603,95
12774,281,99,99,281
12775,549,598,549,598
12776,354,5,5,354
12777,214,574,574,214
12778,471,338,338,471
12779,531,120,531,120
12780,609,619,619,609
12781,311,722,311,722
12782,391,697,697,391
12783,253,257,257,253
12784,175,622,175,622
12785,428,609,428,609
12786,197,686,686,197
12787,38,462,462,38
12788,635,13,635,13
12789,629,242,629,242
12790,195,727,727,195
12791,399,295,295,399
12792,769,14,769,14
12793,159,207,159,207
12794,558,353,558,353
12795,528,119,528,119
12796,606,76,606,76
12797,231,56,56,231
12798,712,632,712,632
12799,724,554,724,554
12800,85,511,85,511
12801,171,484,484,171
12802,582,753,582,753
12803,448,781,448,781
12804,494,323,494,323
12805,475,795,795,475
12806,741,706,706,741
12807,287,303,303,287
12808,35,545,545,35
12809,320,562,320,562
12810,749,95,95,749
12811,423,361,423,361
12812,196,461,196,461
12813,88,108,108,88
12814,613,769,613,769
12815,520,670,520,670
12816,83,545,545,83
12817,665,577,665,577
12818,695,372,372,695
12819,747,599,747,599
12820,701,23,701,23
12821,476,719,476,719
12822,79,461,461,79
12823,681,560,560,681
12824,122,63,63,122
12825,346,471,346,471
12826,259,304,259,304
12827,316,161,316,161
12828,549,18,549,18
12829,128,123,128,123
12830,151,219,219,151
12831,401,561,401,561
12832,598,477,477,598
12833,114,654,654,114
12834,424,572,572,424
12835,590,694,694,590
12836,252,206,206,252
12837,383,623,623,383
12838,576,532,532,576
12839,128,224,128,224
12840,429,703,429,703
12841,317,63,63,317
12842,293,203,293,203
12843,525,250,250,525
12844,425,364,425,364
12845,775,318,775,318
12846,657,93,93,657
12847,122,250,250,122
12848,503,468,503,468
12849,528,353,528,353
12850,248,182,248,182
12851,620,394,394,620
12852,243,591,591,243
12853,242,550,550,242
12854,688,403,688,403
12855,726,652,652,726
12856,753,317,317,753
12857,661,517,517,661
12858,718,520,718,520
12859,151,725,725,151
12860,142,738,142,738
12861,312,95,95,312
12862,291,635,635,291
12863,239,47,47,239
12864,212,418,418,212
12865,487,587,487,587
12866,680,81,81,680
12867,609,284,284,609
12868,698,334,698,334
12869,446,328,446,328
12870,399,287,287,399
12871,502,290,502,290
12872,43,476,476,43
12873,449,694,694,449
12874,422,44,44,422
12875,378,664,664,378
12876,408,41,41,408
12877,141,384,141,384
12878,797,25,797,25
12879,702,438,438,702
12880,251,84,84,251
12881,222,536,536,222
12882,702,257,702,257
12883,20,466,20,466
12884,103,386,103,386
12885,344,492,344,492
12886,761,180,761,180
12887,460,734,460,734
12888,721,676,721,676
12889,329,132,132,329
12890,106,217,106,217
12891,315,447,315,447
12892,515,523,523,515
12893,646,719,646,719
12894,423,785,423,785
12895,684,388,388,684
12896,39,753,39,753
12897,118,278,278,118
12898,312,166,166,312
12899,64,530,64,530
12900,42,694,694,42
12901,656,269,269,656
12902,355,443,443,355
12903,225,494,494,225
12904,578,391,391,578
12905,684,340,340,684
12906,593,603,603,593
12907,666,325,325,666
12908,543,393,543,393
12909,320,272,272,320
12910,97,593,97,593
12911,73,781,781,73
12912,400,340,340,400
12913,383,560,383,560
12914,634,181,181,634
12915,19,442,19,442
12916,166,210,166,210
12917,411,110,110,411
12918,495,648,648,495
12919,105,667,105,667
12920,418,735,418,735
12921,590,134,134,590
12922,783,408,408,783
12923,226,51,51,226
12924,231,653,653,231
12925,463,620,620,463
12926,473,416,473,416
12927,610,600,610,600
12928,705,25,705,25
12929,455,462,462,455
12930,28,3,28,3
12931,105,458,105,458
12932,328,611,611,328
12933,209,40,209,40
12934,621,647,647,621
12935,572,249,249,572
12936,242,511,242,511
12937,242,308,308,242
12938,776,575,575,776
12939,332,392,392,332
12940,725,38,725,38
12941,626,9,626,9
12942,80,297,80,297
12943,284,445,284,445
12944,763,613,613,763
12945,122,264,264,122
12946,579,713,713,579
12947,11,797,797,11
12948,744,526,526,744
12949,775,396,396,775
12950,503,370,503,370
12951,587,242,587,242
12952,330,56,56,330
12953,197,640,197,640
12954,315,153,153,315
12955,557,182,557,182
12956,775,721,721,775
12957,457,93,93,457
12958,392,277,392,277
12959,725,652,652,725
12960,619,432,432,619
12961,80,607,80,607
12962,71,143,71,143
12963,392,420,420,392
12964,41,22,22,41
12965,112,234,234,112
12966,540,742,540,742
12967,348,2,348,2
12968,17,745,745,17
12969,797,557,557,797
12970,633,158,633,158
12971,358,790,790,358
12972,332,420,420,332
12973,494,438,438,494
12974,314,256,314,256
12975,285,557,557,285
12976,457,554,554,457
12977,472,147,147,472
12978,800,124,124,800
12979,623,81,623,81
12980,100,84,84,100
12981,461,367,367,461
12982,49,584,49,584
12983,55,73,55,73
12984,272,502,272,502
12985,306,293,306,293
12986,437,741,437,741
12987,412,4,4,412
12988,248,252,248,252
12989,442,517,442,517
12990,294,205,205,294
12991,327,423,423,327
12992,680,542,542,680
12993,71,9,71,9
12994,429,396,429,396
12995,663,146,663,146
12996,529,786,786,529
12997,613,714,714,613
12998,731,497,731,497
12999,27,88,27,88
13000,487,691,691,487
13001,374,125,125,374
13002,500,681,681,500
13003,434,81,434,81
13004,477,23,477,23
13005,287,271,271,287
13006,694,586,694,586
13007,434,99,99,434
13008,199,499,499,199
13009,687,127,127,687
13010,298,691,691,298
13011,136,494,494,136
13012,413,308,413,308
13013,312,385,385,312
13014,425,241,425,241
13015,548,383,383,548
13016,567,513,513,567
13017,13,601,13,601
13018,15,546,546,15
13019,244,625,244,625
13020,119,182,119,182
13021,717,79,717,79
13022,772,645,772,645
13023,317,223,223,317
13024,73,7,7,73
13025,705,202,705,202
13026,429,515,429,515
13027,359,173,359,173
13028,422,452,422,452
13029,433,492,492,433
13030,383,311,383,311
13031,95,757,95,757
13032,794,29,794,29
13033,707,51,707,51
13034,346,794,794,346
13035,682,142,682,142
13036,84,293,84,293
13037,290,181,181,290
13038,604,768,768,604
13039,291,799,799,291
13040,715,500,715,500
13041,729,354,729,354
13042,146,507,507,146
13043,714,364,714,364
13044,235,654,654,235
13045,520,703,703,520
13046,16,333,333,16
13047,786,121,786,121
13048,354,261,261,354
13049,609,193,193,609
13050,690,544,544,690
13051,85,22,85,22
13052,36,102,102,36
13053,693,622,693,622
13054,287,205,205,287
13055,611,594,611,594
13056,429,440,429,440
13057,422,341,341,422
13058,110,157,110,157
13059,484,65,65,484
13060,587,391,587,391
13061,192,663,663,192
13062,73,157,157,73
13063,371,436,371,436
13064,605,613,613,605
13065,648,291,648,291
13066,300,79,300,79
13067,85,226,85,226
13068,573,749,749,573
13069,364,457,364,457
13070,609,747,747,609
13071,182,456,456,182
13072,173,676,676,173
13073,371,703,703,371
13074,606,118,606,118
13075,8,228,8,228
13076,374,497,497,374
13077,721,537,537,721
13078,171,288,288,171
13079,50,708,708,50
13080,388,181,181,388
13081,786,330,786,330
13082,698,51,698,51
13083,169,292,169,292
13084,119,234,234,119
13085,786,519,786,519
13086,314,625,625,314
13087,192,214,214,192
13088,656,293,293,656
13089,533,517,533,517
13090,294,708,708,294
13091,459,223,223,459
13092,200,760,760,200
13093,489,476,476,489
13094,323,125,125,323
13095,571,250,250,571
13096,265,457,265,457
13097,741,405,405,741
13098,199,157,157,199
13099,336,670,670,336
13100,164,210,164,210
13101,634,766,766,634
13102,723,771,723,771
13103,226,372,372,226
13104,573,638,638,573
13105,438,795,438,795
13106,55,466,55,466
13107,31,59,59,31
13108,520,119,520,119
13109,256,574,574,256
13110,379,288,288,379
13111,599,648,648,599
13112,224,357,224,357
13113,414,674,414,674
13114,305,634,634,305
13115,310,776,776,310
13116,215,188,215,188
13117,300,642,300,642
13118,753,113,113,753
13119,26,29,26,29
13120,559,524,524,559
13121,498,625,625,498
13122,347,28,28,347
13123,613,350,350,613
13124,40,161,40,161
13125,757,503,503,757
13126,102,366,102,366
13127,418,389,418,389
13128,406,740,406,740
13129,555,551,551,555
13130,662,172,172,662
13131,229,710,710,229
13132,485,643,643,485
13133,54,515,515,54
13134,445,619,619,445
13135,71,290,71,290
13136,536,114,114,536
13137,480,380,480,380
13138,228,499,499,228
13139,161,521,521,161
13140,609,443,443,609
13141,378,626,378,626
13142,211,774,774,211
13143,244,346,244,346
13144,593,138,138,593
13145,774,728,728,774
13146,77,377,377,77
13147,699,96,96,699
13148,199,121,121,199
13149,693,370,370,693
13150,775,391,391,775
13151,279,764,279,764
13152,42,718,718,42
13153,636,464,636,464
13154,487,791,487,791
13155,7,279,7,279
13156,258,458,258,458
13157,213,581,581,213
13158,578,500,500,578
13159,513,724,513,724
13160,793,432,432,793
13161,765,209,209,765
13162,787,596,787,596
13163,277,549,549,277
13164,255,342,342,255
13165,320,590,590,320
13166,356,2,356,2
13167,665,743,743,665
13168,64,521,521,64
13169,470,407,407,470
13170,628,638,628,638
13171,749,72,72,749
13172,6,432,432,6
13173,31,404,31,404
13174,630,762,630,762
13175,272,753,272,753
13176,23,662,23,662
13177,158,281,158,281
13178,686,473,473,686
13179,608,779,608,779
13180,109,523,109,523
13181,629,673,629,673
13182,75,627,75,627
13183,492,251,492,251
13184,484,116,484,116
13185,789,225,225,789
13186,463,544,544,463
13187,734,585,585,734
13188,573,284,284,573
13189,272,707,272,707
13190,567,546,546,567
13191,1,483,483,1
13192,336,225,336,225
13193,244,563,244,563
13194,43,428,428,43
13195,602,22,22,602
13196,719,160,160,719
13197,425,51,425,51
13198,667,458,458,667
13199,234,395,234,395
13200,155,389,155,389
13201,312,32,32,312
13202,674,303,674,303
13203,788,671,671,788
13204,8,378,8,378
13205,348,207,348,207
13206,164,466,164,466
13207,431,228,431,228
13208,193,759,193,759
13209,180,487,487,180
13210,484,206,206,484
13211,612,514,612,514
13212,190,773,773,190
13213,311,14,311,14
13214,706,747,747,706
13215,116,243,116,243
13216,174,734,174,734
13217,82,481,481,82
13218,2,693,693,2
13219,76,366,366,76
13220,306,103,103,306
13221,179,768,768,179
13222,529,276,276,529
13223,114,400,400,114
13224,745,91,745,91
13225,416,167,416,167
13226,267,131,131,267
13227,648,641,648,641
13228,756,716,716,756
13229,725,363,363,725
13230,469,639,469,639
13231,751,593,593,751
13232,795,672,795,672
13233,557,25,557,25
13234,379,19,19,379
13235,569,732,732,569
13236,793,164,164,793
13237,550,513,513,550
13238,380,786,786,380
13239,261,652,261,652
13240,709,355,709,355
13241,339,697,339,697
13242,684,387,387,684
13243,149,614,614,149
13244,630,384,384,630
13245,478,701,701,478
13246,569,744,569,744
13247,393,493,493,393
13248,750,264,264,750
13249,471,199,199,471
13250,43,352,43,352
13251,528,507,528,507
13252,155,742,155,742
13253,298,278,298,278
13254,89,342,342,89
13255,758,10,758,10
13256,241,346,346,241
13257,493,744,493,744
13258,82,95,95,82
13259,239,30,30,239
13260,208,660,208,660
13261,785,319,319,785
13262,407,190,190,407
13263,439,664,664,439
13264,679,712,679,712
13265,241,670,670,241
13266,109,377,377,109
13267,44,501,44,501
13268,392,728,392,728
13269,625,560,560,625
13270,30,457,30,457
13271,81,268,268,81
13272,284,211,284,211
13273,734,713,713,734
13274,441,357,357,441
13275,325,233,233,325
13276,747,755,747,755
13277,776,692,692,776
13278,212,205,205,212
13279,281,408,408,281
13280,246,736,736,246
13281,257,92,92,257
13282,735,427,427,735
13283,15,724,724,15
13284,238,500,500,238
13285,266,141,141,266
13286,603,692,603,692
13287,648,129,648,129
13288,797,582,797,582
13289,673,631,631,673
13290,720,303,303,720
13291,793,443,793,443
13292,800,250,250,800
13293,52,199,199,52
13294,38,387,387,38
13295,780,77,780,77
13296,314,290,314,290
13297,755,64,64,755
13298,554,217,554,217
13299,239,277,239,277
13300,324,610,610,324
13301,737,342,737,342
13302,576,367,576,367
13303,152,396,152,396
13304,208,163,163,208
13305,476,456,476,456
13306,526,302,526,302
13307,630,514,630,514
13308,200,487,200,487
13309,382,390,390,382
13310,800,516,800,516
13311,272,733,272,733
13312,417,458,417,458
13313,718,695,718,695
13314,563,632,563,632
13315,355,425,425,355
13316,254,685,685,254
13317,19,232,232,19
13318,608,698,698,608
13319,22,787,787,22
13320,365,116,116,365
13321,483,612,483,612
13322,702,599,702,599
13323,695,308,308,695
13324,369,660,369,660
13325,74,11,11,74
13326,584,358,358,584
13327,152,444,444,152
13328,560,142,142,560
13329,241,721,721,241
13330,664,154,154,664
13331,481,569,481,569
13332,698,676,698,676
13333,307,311,307,311
13334,408,277,408,277
13335,698,210,698,210
13336,369,237,369,237
13337,698,272,272,698
13338,355,415,415,355
13339,520,691,520,691
13340,515,563,563,515
13341,307,70,70,307
13342,28,786,786,28
13343,536,367,536,367
13344,530,455,455,530
13345,633,580,633,580
13346,154,608,154,608
13347,155,486,155,486
13348,681,175,175,681
13349,785,534,534,785
13350,240,245,245,240
13351,344,388,344,388
13352,96,462,462,96
13353,644,390,644,390
13354,307,406,307,406
13355,170,224,170,224
13356,535,391,535,391
13357,795,750,795,750
13358,10,779,10,779
13359,96,275,96,275
13360,528,117,528,117
13361,312,421,421,312
13362,780,541,541,780
13363,286,651,651,286
13364,237,405,405,237
13365,175,579,175,579
13366,529,198,198,529
13367,350,367,350,367
13368,341,239,341,239
13369,761,172,172,761
13370,392,61,61,392
13371,702,753,702,753
13372,6,220,6,220
13373,508,774,508,774
13374,538,547,538,547
13375,797,456,797,456
13376,561,608,608,561
13377,763,129,129,763
13378,171,758,171,758
13379,360,140,360,140
13380,599,646,646,599
13381,563,528,528,563
13382,416,663,663,416
13383,247,473,473,247
13384,516,703,703,516
13385,592,759,759,592
13386,468,629,629,468
13387,52,509,509,52
13388,535,316,316,535
13389,140,266,266,140
13390,569,466,466,569
13391,262,717,717,262
13392,591,403,403,591
13393,732,550,732,550
13394,380,558,380,558
13395,686,39,39,686
13396,474,568,568,474
13397,603,505,603,505
13398,741,171,171,741
13399,706,738,706,738
13400,527,163,163,527
13401,664,774,664,774
13402,545,329,329,545
13403,685,49,685,49
13404,163,24,163,24
13405,473,273,273,473
13406,290,313,313,290
13407,575,685,685,575
13408,267,670,670,267
13409,73,42,42,73
13410,740,788,740,788
13411,505,130,130,505
13412,316,88,316,88
13413,300,255,300,255
13414,314,390,390,314
13415,527,309,527,309
13416,180,79,79,180
13417,297,719,719,297
13418,341,446,341,446
13419,779,765,765,779
13420,461,72,461,72
13421,110,672,110,672
13422,320,370,370,320
13423,22,702,702,22
13424,414,395,414,395
13425,312,215,215,312
13426,437,742,437,742
13427,564,154,154,564
13428,772,273,772,273
13429,438,421,421,438
13430,135,657,135,657
13431,152,608,608,152
13432,20,43,20,43
13433,747,89,747,89
13434,72,605,72,605
13435,474,306,306,474
13436,304,709,709,304
13437,682,435,682,435
13438,49,363,363,49
13439,706,484,706,484
13440,535,164,164,535
13441,135,198,135,198
13442,476,564,476,564
13443,126,139,139,126
13444,518,311,518,311
13445,326,735,735,326
13446,721,252,721,252
13447,211,492,492,211
13448,257,399,257,399
13449,335,179,179,335
13450,747,630,747,630
13451,790,620,620,790
13452,331,641,641,331
13453,721,212,212,721
13454,436,794,794,436
13455,329,110,110,329
13456,378,610,610,378
13457,202,534,534,202
13458,509,1,509,1
13459,496,210,496,210
13460,350,500,350,500
13461,86,579,579,86
13462,316,124,316,124
13463,99,446,446,99
13464,760,368,368,760
13465,134,89,134,89
13466,528,177,528,177
13467,594,472,472,594
13468,357,189,357,189
13469,432,590,590,432
13470,385,329,329,385
13471,232,392,232,392
13472,461,492,492,461
13473,721,77,721,77
13474,697,7,7,697
13475,678,642,642,678
13476,212,290,212,290
13477,406,543,406,543
13478,695,520,520,695
13479,83,455,455,83
13480,469,392,469,392
13481,267,13,13,267
13482,231,551,551,231
13483,455,239,455,239
13484,281,21,21,281
13485,303,799,799,303
13486,697,311,697,311
13487,690,313,313,690
13488,84,278,84,278
13489,527,340,340,527
13490,773,79,773,79
13491,205,557,557,205
13492,498,762,498,762
13493,593,602,602,593
13494,576,57,57,576
13495,681,397,397,681
13496,570,796,570,796
13497,561,666,666,561
13498,490,377,490,377
13499,762,422,422,762
13500,639,53,53,639
13501,286,391,286,391
13502,141,95,141,95
13503,14,747,747,14
13504,304,139,139,304
13505,657,47,657,47
13506,691,291,291,691
13507,650,185,185,650
13508,743,329,329,743
13509,432,357,432,357
13510,794,587,794,587
13511,198,409,409,198
13512,74,108,108,74
13513,595,742,742,595
13514,277,563,563,277
13515,767,368,368,767
13516,385,590,590,385
13517,330,463,330,463
13518,290,60,60,290
13519,683,431,431,683
13520,310,712,712,310
13521,380,712,712,380
13522,774,335,335,774
13523,397,68,397,68
13524,321,403,403,321
13525,179,772,772,179
13526,440,186,186,440
13527,288,115,288,115
13528,142,609,142,609
13529,486,726,726,486
13530,610,377,610,377
13531,746,273,273,746
13532,490,600,490,600
13533,6,693,6,693
13534,752,398,398,752
13535,546,639,546,639
13536,721,608,608,721
13537,744,731,731,744
13538,121,217,217,121
13539,688,760,760,688
13540,582,584,582,584
