,totalDiff,HPDiff,attackDiff,DefenseDiff,SpAtkDiff,SpdefDiff,SpeedDiff,DAMAGE_A,DAMAGE_SP,TR,win_mapping
13635,-245,-20,-12,-128,23,-98,-10,16.882978723404257,25.668000000000003,-1.5,0
13636,328,48,55,45,92,58,30,65.57379310344827,75.624,0.0,1
13637,20,15,-35,-5,0,30,15,20.976,67.528,0.0,1
13638,105,20,58,50,-23,17,-17,35.5488,22.10664827586207,0.0,0
13639,-90,55,-15,-40,-15,-35,-40,14.904,17.94,0.0,0
13640,-150,15,-48,-29,-38,-19,-31,15.399673469387757,18.631366336633665,0.0,0
13641,269,20,10,50,110,55,24,0.0,0.0,0.0,0
13642,-52,-40,-40,10,-15,20,13,20.608,18.685199999999995,-1.5,1
13643,-14,-30,-35,-37,20,18,50,32.361000000000004,112.05600000000001,-1.0,0
13644,-160,5,30,-5,-105,-75,-10,16.008000000000003,24.6192,0.0,0
13645,-100,-14,-30,8,-20,-10,-34,13.220400000000001,16.07032258064516,-1.5,0
13646,190,10,35,57,50,52,-14,36.818400000000004,20.871120000000005,0.0,0
13647,13,-46,75,15,-52,-15,36,73.61719626168225,206.5241379310345,1.0,1
13648,85,7,-10,10,20,10,48,33.98742857142858,68.3376,0.0,1
13649,205,60,70,75,55,-5,-50,85.56,20.976,0.5,1
13650,215,55,45,110,25,-25,5,245.64,97.4832,0.0,1
13651,215,25,45,75,15,45,10,117.26057142857142,86.03314285714286,0.0,1
13652,-243,-50,-28,-90,-75,-15,15,7.176000000000001,14.1312,-1.5,1
13653,-150,5,-5,-5,-60,-45,-40,24.6192,33.12,0.0,0
13654,159,24,41,69,-4,53,-24,170.09213793103447,197.61600000000004,1.5,1
13655,55,0,35,5,-15,30,0,92.95679999999999,90.52799999999999,1.5,0
13656,-140,-20,-40,-17,-15,-5,-43,12.3096,10.673877551020407,0.0,0
13657,10,-53,35,9,-25,24,20,120.888,165.8208,1.0,1
13658,175,55,75,35,15,-10,5,44.049600000000005,31.52210526315789,0.0,1
13659,-66,-15,9,15,-11,-20,-44,57.40800000000001,41.469,0.0,0
13660,130,-2,71,-31,11,-11,92,86.25,121.56,0.0,1
13661,105,46,-38,-13,-8,65,53,55.43277108433735,150.76500000000001,0.0,1
13662,315,15,115,-50,130,65,40,136.344,60.010285714285715,0.0,1
13663,-25,20,50,-20,-85,-5,15,27.982153846153842,53.204307692307694,0.0,1
13664,114,25,10,37,3,20,19,83.5728,57.40800000000001,0.0,1
13665,100,5,-10,-10,50,30,35,91.632,78.38399999999999,1.5,1
13666,10,23,6,-21,-9,-26,37,46.57063291139241,102.12,0.5,1
13667,-370,-7,-130,-55,-120,-45,-13,30.567,48.576,1.0,0
13668,0,-35,-40,15,55,30,-25,89.28600000000002,47.288,0.0,0
13669,-94,5,-67,-104,16,34,22,69.0,106.85142857142858,0.5,1
13670,-65,0,-10,-10,5,-25,-25,19.595999999999997,19.595999999999997,-0.5,0
13671,-66,-21,5,-13,-35,7,-9,11.872416000000001,25.226400000000005,0.0,0
13672,23,0,45,40,5,-10,-57,58.809230769230766,31.334117647058825,0.5,0
13673,78,-17,-39,60,40,40,-6,98.80799999999999,109.02000000000001,0.0,0
13674,-100,0,-18,-40,-22,-20,0,13.772852459016391,24.150000000000002,0.0,0
13675,0,30,-1,-25,15,20,-39,33.25800000000001,17.678526315789473,0.0,0
13676,-408,-110,-100,-70,-64,-34,-30,14.264842105263156,14.053919999999998,0.0,0
13677,130,56,38,28,32,22,-46,156.7128,70.87224742268042,1.5,1
13678,-5,25,-45,-115,50,70,10,21.114,48.7416,0.0,1
13679,-201,-7,-40,-25,-80,-50,1,20.976,28.2624,0.0,1
13680,0,-12,15,-2,55,-49,-7,15.547999999999998,14.873333333333335,-0.5,0
13681,-20,0,-15,-50,10,0,35,60.168000000000006,99.20228571428572,1.0,1
13682,-317,-46,-7,-56,-89,-56,-63,24.72446511627907,28.458666666666666,1.0,0
13683,47,-30,-8,-8,4,49,40,16.959473684210522,37.812,0.0,1
13684,252,39,70,20,70,10,43,96.4422857142857,63.480000000000004,0.0,1
13685,-205,-35,-83,-32,-45,15,-25,16.182315789473684,41.10947368421053,-1.0,0
13686,-375,-75,-129,-80,0,-65,-26,29.604631578947366,30.98197183098592,0.0,0
13687,-240,-25,-20,-85,-80,-20,-10,27.3792,29.808,1.5,0
13688,305,-35,125,55,80,45,35,148.488,136.344,0.0,1
13689,-100,8,0,-26,-45,-22,-15,16.180500000000002,17.1672,-0.5,0
13690,73,59,-17,-4,46,36,-47,36.915,33.662142857142854,0.0,0
13691,-65,-19,-35,-5,-20,25,-11,19.09158620689655,40.63485148514851,0.5,0
13692,232,47,50,-15,80,10,60,0.0,0.0,0.0,0
13693,335,45,45,25,90,90,40,121.16399999999999,239.56799999999998,0.0,1
13694,-278,-35,-30,-49,-64,-69,-31,13.6896,27.94755555555556,0.0,0
13695,-165,-16,-24,20,-66,-25,-54,12.972000000000001,11.926105263157893,-1.5,0
13696,185,20,35,80,-5,50,5,58.809230769230766,41.994461538461536,0.0,1
13697,0,-2,11,-46,1,-36,72,70.08303797468353,182.16,1.5,1
13698,-21,-15,-11,16,-8,-6,3,38.64823880597015,47.904,0.0,1
13699,123,11,-1,30,24,47,12,40.21825352112676,71.07000000000001,0.0,1
13700,85,30,10,-20,5,75,-15,24.564,41.124,-0.5,0
13701,-45,2,-18,-15,-18,-15,19,11.926105263157893,11.926105263157893,0.0,1
13702,-5,-19,-16,20,-14,0,24,38.64,25.81609756097561,-0.5,1
13703,283,-22,5,77,85,77,61,197.67120000000006,158.68896,0.0,1
13704,-190,0,-25,-115,20,-70,0,14.1312,25.668000000000003,-0.5,0
13705,295,60,40,14,60,60,61,74.7132,230.45999999999998,0.0,1
13706,60,90,30,-5,-25,40,-70,25.179692307692306,44.049600000000005,0.0,1
13707,-50,-15,70,35,-80,-25,-35,29.74666666666667,31.9056,0.0,0
13708,30,30,14,48,-25,0,-37,20.5068,18.029032258064518,-1.5,0
13709,-112,-55,10,0,-27,-35,-5,11.315999999999999,18.194769230769232,0.0,0
13710,-171,-45,-45,-16,-26,-32,-7,36.06925714285715,37.73472,0.5,0
13711,70,-10,2,19,23,19,17,70.70075675675676,44.656800000000004,0.0,1
13712,304,38,39,38,79,75,35,38.2812,67.21661538461538,0.0,1
13713,18,-27,0,10,30,-5,10,54.372,47.288,0.0,1
13714,-110,-6,10,-10,-22,-32,-50,17.761411764705883,15.415326315789473,0.0,0
13715,-80,2,-15,-10,-25,-30,-2,24.6192,35.5488,0.0,0
13716,-25,-10,28,10,-42,35,-46,47.708571428571425,37.30758620689655,0.0,0
13717,-120,-55,-40,-50,0,-10,35,44.75446153846154,120.02057142857143,1.5,1
13718,164,16,41,66,9,14,18,93.4682448979592,44.160000000000004,0.0,1
13719,62,25,-5,5,0,25,12,36.389538461538464,39.19199999999999,0.0,1
13720,5,4,-26,5,4,5,13,24.150000000000002,23.065714285714286,-0.5,1
13721,245,25,35,17,60,45,63,109.3512,211.96799999999996,1.5,1
13722,-85,11,6,-33,6,-23,-52,49.87872000000001,43.79393684210527,0.0,0
13723,-387,-35,-163,-55,-13,-75,-46,57.40800000000001,17.3328,0.0,0
13724,-18,-4,-28,-32,8,15,23,56.19359999999999,57.40800000000001,0.0,1
13725,-104,-49,-5,-38,-10,-38,36,25.226399999999998,47.69279999999999,0.0,1
13726,220,32,-5,30,25,60,78,143.96159999999998,203.2937142857143,1.5,1
13727,-185,-10,-50,-39,-5,-19,-62,35.88,19.024285714285718,0.0,0
13728,140,10,-10,0,45,30,65,59.06399999999999,64.6944,0.5,1
13729,-87,-40,-22,-25,-22,25,-3,27.982153846153842,75.624,0.0,0
13730,30,70,5,0,5,-10,-40,23.578285714285713,35.72228571428572,0.0,0
13731,-160,-25,-65,-45,5,-25,-5,12.006,10.488,-1.5,0
13732,121,29,28,26,23,-39,54,48.9072,61.77984,0.0,1
13733,-164,-13,10,-30,-55,-25,-51,26.180571428571433,18.992079207920792,0.0,0
13734,310,25,50,95,20,55,65,116.10400000000001,367.08,0.5,1
13735,-30,-5,-7,5,22,-15,-30,32.704109589041096,28.476705882352938,0.5,0
13736,-295,-65,-75,40,-120,-55,-20,20.8104,10.488,-1.5,0
13737,60,20,30,20,5,-5,-10,25.53,27.982153846153842,0.0,0
13738,-203,-31,-34,-10,-25,-15,-88,28.2624,10.729500000000002,0.0,0
13739,177,-5,37,44,10,24,67,37.407199999999996,29.3112,-1.5,1
13740,65,23,-20,46,0,46,-30,60.14039999999999,60.14039999999999,0.0,0
13741,15,65,75,23,-50,-52,-46,95.73257142857142,52.119069767441864,2.0,1
13742,-65,120,-52,-82,-52,-12,13,27.619482352941176,108.4128,0.0,1
13743,16,7,-9,-42,32,32,-4,111.78,58.99816513761468,1.5,0
13744,-126,-6,-25,-10,10,-20,-75,28.2624,9.591000000000001,0.0,0
13745,-195,-45,-36,5,-36,-45,-38,14.1312,16.56,-0.5,0
13746,296,25,21,-5,98,75,82,93.84,145.88571428571424,-1.0,1
13747,16,-39,25,40,10,-20,0,166.704,30.084000000000003,0.0,0
13748,15,36,-16,12,-21,4,0,19.371111111111112,30.5256,0.0,0
13749,-105,-21,23,35,-64,-15,-63,38.062325581395356,28.059999999999995,0.0,0
13750,43,-5,10,4,55,4,-25,90.52799999999999,49.872,1.0,0
13751,-160,-10,-30,-60,-25,-30,-5,8.091157894736842,23.799692307692307,0.0,0
13752,195,65,20,50,50,30,-20,151.248,66.24,1.0,0
13753,-73,-14,-51,-44,16,-2,22,29.476799999999997,35.397000000000006,0.0,1
13754,99,14,25,57,-22,0,25,58.31880000000001,49.07186440677965,0.0,1
13755,-140,-41,-5,-50,5,-40,-9,24.012,27.048000000000002,0.0,0
13756,-520,-50,-100,-50,-150,-130,-40,5.428000000000001,7.452,-0.5,0
13757,-4,2,-9,20,-29,20,-8,29.89021276595745,41.400000000000006,-1.0,0
13758,147,31,-18,27,84,44,-21,88.8168,33.80448,-0.5,0
13759,-70,15,-45,-145,30,50,25,8.880705882352942,26.101714285714287,-0.5,1
13760,65,-15,4,6,35,15,20,59.43200000000001,31.095999999999997,0.0,0
13761,55,15,-10,40,-30,40,0,69.27600000000001,106.40861538461539,1.0,0
13762,76,11,-6,-17,61,4,23,57.099254237288136,92.82799999999999,0.0,1
13763,-10,-25,-25,100,-10,0,-50,124.19999999999999,39.19199999999999,0.5,0
13764,175,43,105,55,10,0,-38,40.848000000000006,29.383384615384614,0.5,0
13765,230,20,75,25,70,-10,50,46.47839999999999,42.504,0.0,1
13766,140,14,69,13,14,3,27,104.47111111111113,191.91627906976748,1.0,1
13767,189,10,20,82,-2,35,44,76.83840000000001,71.07000000000001,0.0,1
13768,5,-10,5,-20,35,-15,10,27.048000000000002,35.88,0.0,1
13769,185,18,24,8,50,35,50,146.3904,163.39200000000002,1.5,1
13770,-144,-10,-35,-29,-15,-39,-16,25.179692307692306,20.976,0.0,0
13771,306,47,75,85,34,14,51,126.62879999999998,110.2344,0.5,1
13772,-155,-50,-40,-25,45,-25,-60,52.854,25.024,0.0,0
13773,-256,-35,-10,-25,-85,-65,-36,13.554666666666668,17.3328,0.0,0
13774,124,33,50,9,-5,14,23,21.252,19.595999999999997,-0.5,1
13775,84,5,35,2,-22,-5,69,58.31880000000001,93.84,0.0,1
13776,30,-21,-21,13,49,-12,22,52.235555555555564,83.2493023255814,-1.0,1
13777,-80,5,50,20,-95,-10,-50,10.227771428571428,11.7024,-0.5,0
13778,235,20,20,10,70,60,55,194.9664,418.41599999999994,1.0,1
13779,-400,-51,-87,20,-144,-40,-98,39.32288659793815,47.156571428571425,1.0,0
13780,224,110,57,17,12,62,-34,47.44075471698113,65.3775,0.0,1
13781,164,33,15,9,43,59,5,51.03240000000001,77.6112,0.0,1
13782,-260,-50,-30,-50,-50,-50,-30,41.952,41.952,1.0,0
13783,0,-35,-40,5,20,25,25,28.991039999999998,62.376000000000005,0.0,1
13784,270,35,95,30,35,20,55,58.4795294117647,53.204307692307694,0.5,1
13785,255,25,65,30,30,40,65,80.178,43.47811764705882,0.5,1
13786,-300,-30,-90,-85,0,-55,-40,22.37723076923077,14.904,0.0,0
13787,240,35,75,35,65,25,5,148.488,41.33505882352941,0.0,1
13788,-7,-28,40,112,-55,-46,-30,70.472,31.654344827586208,-1.0,0
13789,-60,-55,-20,-5,29,-22,13,99.912,53.76480000000001,0.0,1
13790,212,55,57,32,19,59,-10,62.16,63.480000000000004,0.0,0
13791,-85,-19,-28,3,-3,13,-51,14.224615384615387,15.997777777777781,-1.5,0
13792,80,25,10,30,40,30,-55,34.90588235294118,39.19199999999999,0.0,0
13793,103,31,5,-32,43,24,32,146.3904,103.8864,1.5,1
13794,150,-20,10,32,60,42,26,89.3872,67.7304,0.0,1
13795,-80,-21,-21,29,-16,-16,-35,19.438965517241378,9.049894736842106,-1.5,0
13796,12,46,27,26,-21,-39,-27,41.580983606557375,37.457142857142856,0.0,1
13797,-130,-3,-15,5,-10,-5,-102,49.60114285714286,24.6192,0.0,0
13798,230,-20,25,57,50,57,61,73.63680000000001,158.68896,0.0,1
13799,-140,-30,-50,-40,-5,-5,-10,69.552,39.19199999999999,0.5,0
13800,185,-5,4,55,74,35,22,98.39399999999998,93.84,0.0,1
13801,225,44,53,43,5,45,35,69.0,58.809230769230766,0.0,1
13802,-41,-10,15,52,-77,0,-21,0.0,0.0,0.0,0
13803,-130,-5,-90,-55,25,-45,40,57.40800000000001,31.9056,0.0,1
13804,280,65,87,17,42,62,7,105.71999999999998,176.99999999999997,0.0,1
13805,172,13,70,30,12,25,22,41.553333333333335,52.203428571428574,0.5,1
13806,-66,-22,-17,13,-10,4,-34,22.5768,16.79353846153846,-1.5,0
13807,-20,25,25,10,-10,-10,-60,39.19199999999999,18.952,0.0,0
13808,-166,-30,-20,22,-60,2,-80,25.347839999999994,18.33782068965517,0.5,0
13809,-160,-75,-55,-60,50,-10,-10,118.86400000000002,78.38399999999999,1.0,0
13810,-214,-34,-31,6,-24,-66,-65,63.480000000000004,13.169142857142857,0.0,0
13811,199,13,75,-4,30,45,40,86.39904000000001,108.744,1.5,1
13812,231,71,35,12,52,31,30,52.9552,80.41768421052632,0.0,1
13813,-192,-35,-60,-5,-75,15,-32,37.674,49.312000000000005,0.0,0
13814,-195,-45,-60,-15,-20,5,-60,33.727199999999996,41.0136,0.0,0
13815,-242,-40,-35,-51,-85,-21,-10,0.0,0.0,-1.0,0
13816,150,20,50,-25,80,25,0,32.60742857142857,21.252,-1.5,0
13817,-35,16,7,-30,-25,-5,2,42.504,29.255999999999997,0.0,1
13818,-105,-45,15,-25,4,-32,-22,55.751999999999995,31.4502,0.0,0
13819,-13,26,-20,10,17,-5,-41,37.168,52.203428571428574,0.0,0
13820,-240,-11,-60,-35,-60,-35,-39,20.976,24.839999999999996,0.0,0
13821,-178,-70,-33,-38,-36,-31,30,19.5378947368421,27.048000000000002,0.0,1
13822,-253,-28,-45,-35,-85,-35,-25,23.007360000000002,78.38399999999999,1.0,0
13823,-235,-31,-73,24,-71,1,-85,37.65802105263158,35.740547368421055,0.5,0
13824,-287,-46,-51,-50,-25,-50,-65,33.12,20.976,0.0,0
13825,-95,-5,-60,-30,25,5,-30,31.740000000000002,14.802315789473683,-1.5,0
13826,340,25,85,10,130,90,0,57.40800000000001,61.962,0.0,0
13827,-134,27,-25,-36,-65,15,-50,23.778461538461535,39.19199999999999,0.0,0
13828,125,25,60,10,-10,50,-10,29.255999999999997,37.04894117647059,0.0,0
13829,17,32,65,45,-70,-25,-30,27.048000000000002,42.8352,0.0,0
13830,-35,-14,-26,37,4,-31,-5,43.78702702702702,45.263999999999996,-1.0,0
13831,-115,-16,1,10,-46,-20,-44,31.095999999999997,25.024,0.5,0
13832,410,50,80,60,80,60,80,184.92000000000002,184.92000000000002,0.0,1
13833,-220,-35,-80,-9,-15,-50,-31,27.402857142857144,19.371111111111112,-0.5,0
13834,-15,-10,-45,0,-15,30,25,45.263999999999996,49.60114285714286,0.0,1
13835,270,49,115,40,50,25,-9,124.75200000000001,63.8112,2.0,1
13836,10,-110,10,40,-10,40,40,37.168,54.372,0.0,1
13837,90,15,15,-15,20,35,20,95.5284705882353,133.03200000000004,1.0,1
13838,-125,-10,-25,-40,-15,-40,5,25.313142857142857,32.361000000000004,0.0,1
13839,85,20,45,35,-10,35,-40,88.79314285714285,88.79314285714285,1.0,0
13840,-152,-30,-40,-36,20,-16,-50,20.976,18.6,0.0,0
13841,127,10,-10,42,40,67,-22,80.178,64.45935483870967,0.0,0
13842,-235,-58,-20,-66,-40,-51,0,30.084000000000003,57.40800000000001,0.0,0
13843,-245,-37,-6,-20,-85,-35,-62,22.529302325581394,21.313333333333333,0.0,0
13844,238,61,43,27,70,44,-7,93.21186206896552,92.82799999999999,0.5,0
13845,-105,-36,-57,-7,24,1,-30,46.22273684210528,37.370400000000004,0.0,0
13846,245,20,25,60,60,45,35,120.02057142857143,236.25599999999997,1.0,1
13847,3,5,-5,20,-22,15,-10,38.016774193548386,48.300000000000004,0.0,0
13848,15,8,-21,10,14,15,-11,87.768,37.91368421052631,0.0,0
13849,-148,-25,-56,-10,-49,-10,2,9.995675675675674,10.488,-0.5,1
13850,-280,-51,-85,-40,-35,-20,-49,23.578285714285713,20.976,0.0,0
13851,16,-11,6,-25,30,-12,28,36.51317647058824,34.20131506849315,0.0,1
13852,60,45,-10,-30,90,20,-55,161.65714285714284,78.38399999999999,1.0,0
13853,-207,-36,-4,-22,-64,-16,-65,38.94385321100917,39.88981132075471,1.5,0
13854,3,45,-35,-52,40,-5,10,25.5576,34.1688,0.0,1
13855,-5,-5,-50,35,-25,50,-10,33.58707692307692,41.994461538461536,-1.0,0
13856,155,15,37,29,23,18,33,96.01238709677419,110.6123076923077,1.5,1
13857,-399,-45,-87,-70,-112,-75,-10,24.839999999999996,78.38399999999999,1.5,0
13858,105,30,-1,5,35,-5,41,139.104,369.84000000000003,1.0,1
13859,285,10,105,-5,-10,55,130,61.0512,197.06400000000002,0.0,1
13860,-70,-16,-47,-20,10,0,3,48.300000000000004,29.948059701492532,0.0,1
13861,-117,-28,7,-18,-20,-53,-5,35.02834285714285,24.6192,0.0,0
13862,-213,36,-75,-15,-53,-25,-81,22.1145,34.224,0.0,0
13863,-115,35,-65,10,-20,-25,-50,75.624,25.313142857142857,0.0,0
13864,-317,-25,-90,-25,-82,-35,-60,15.771428571428574,12.696000000000002,-1.0,0
13865,-220,-50,-80,-15,-45,-40,10,36.156,13.169142857142857,0.0,0
13866,-265,-26,-24,-20,-96,-35,-64,10.488,10.091999999999999,-1.5,0
13867,66,45,-12,32,3,47,-49,83.98892307692307,94.576,1.0,0
13868,170,-16,0,59,43,50,34,32.81729032258065,38.86292307692308,-0.5,1
13869,8,-6,27,-17,-10,-38,52,16.447555555555557,36.10425,-1.5,1
13870,142,27,-15,40,40,40,10,63.480000000000004,43.239999999999995,0.0,1
13871,275,5,100,-80,145,-17,122,11.789142857142856,14.391428571428571,-0.5,0
13872,215,40,90,115,-45,10,5,47.86628571428571,29.071999999999996,0.0,1
13873,248,-2,110,20,20,50,50,0.0,0.0,-2.0,0
13874,-162,12,12,-45,-55,-65,-21,24.27222857142857,20.552372093023255,0.0,0
13875,-43,32,-31,-3,-4,-6,-31,30.658378378378384,60.444,0.0,0
13876,-78,2,-30,-35,-5,-10,0,45.99999999999999,65.13600000000001,1.5,0
13877,126,41,-5,-10,47,-13,66,39.19199999999999,63.965759999999996,0.0,1
13878,215,10,45,25,40,25,70,63.480000000000004,124.19999999999999,0.0,1
13879,-207,6,-4,-42,-57,-62,-48,25.313142857142857,21.823255813953487,0.5,0
13880,-205,-35,-31,-49,-5,-22,-63,23.16192,28.449230769230773,0.0,0
13881,-74,-21,-77,-3,23,-19,23,48.9072,39.192,0.0,1
13882,-102,-30,-45,-20,5,-10,-2,25.53,33.12,0.0,0
13883,-220,-5,-68,-53,-25,-30,-39,15.9528,10.488,-0.5,0
13884,-210,-15,-40,-50,-40,-40,-25,14.26368,58.14399999999999,1.0,0
13885,-190,-20,0,45,-80,-85,-50,40.848000000000006,32.361000000000004,0.0,0
13886,-18,21,-8,-8,19,9,-51,35.5488,43.2906,0.0,0
13887,57,-4,-4,5,5,5,50,60.010285714285715,60.010285714285715,0.0,0
13888,-39,47,-23,-13,2,7,-59,62.629621621621624,49.46971428571429,1.5,1
13889,-74,-49,10,-45,-45,-40,95,20.01726315789474,30.784615384615385,0.0,1
13890,191,39,52,45,20,45,-10,86.03314285714286,47.599384615384615,0.0,0
13891,-169,-25,-47,-20,-47,-15,-15,12.27,22.631999999999998,-1.5,0
13892,-1,39,-11,24,-16,39,-76,17.154680412371135,18.078,-0.5,0
13893,25,20,-32,-2,-4,16,27,25.833600000000004,53.76480000000001,0.5,1
13894,-266,-47,-42,-64,-40,-8,-65,29.071999999999996,24.349333333333334,0.5,0
13895,-174,-25,-35,-62,2,-15,-39,20.224137931034484,17.22,-0.5,0
13896,130,5,0,65,60,-15,15,53.751000000000005,17.572,-1.5,1
13897,-35,53,-45,-39,5,-9,0,29.8632,32.71152,-0.5,0
13898,-290,-55,-105,-25,-15,-25,-65,41.469,33.727199999999996,0.0,0
13899,-335,-81,-35,-81,-95,-61,18,19.532307692307693,48.10285714285715,1.0,1
13900,172,25,5,30,35,70,7,46.47839999999999,48.74213592233011,0.5,1
13901,-105,5,0,-60,-20,-15,-15,9.476,22.198285714285714,-1.5,0
13902,-260,-39,-65,-25,-55,-35,-41,15.875519999999998,17.52972972972973,0.0,0
13903,250,-5,50,20,110,40,35,54.80571428571429,48.300000000000004,-1.0,1
13904,150,-10,15,50,65,30,0,296.976,120.02057142857143,1.0,0
13905,160,23,44,-7,40,0,60,55.5864,121.16399999999999,0.5,1
13906,-160,25,-37,-43,-65,-25,-15,18.015900000000002,30.911999999999995,0.0,0
13907,45,0,-5,-35,0,50,35,14.264842105263156,73.0217142857143,-1.0,1
13908,206,21,30,5,10,10,130,43.746,63.480000000000004,0.0,1
13909,125,35,40,25,19,8,-2,75.624,41.013600000000004,0.0,0
13910,-327,-56,-38,-42,-79,-36,-76,6.393577981651378,6.535471698113209,-1.5,0
13911,-355,-40,-55,-15,-115,-85,-45,23.4048,15.511199999999999,0.0,0
13912,197,6,51,50,20,20,50,106.85142857142858,75.624,0.5,0
13913,214,28,34,-17,69,35,65,73.8024,91.23771428571429,-1.0,1
13914,-160,-10,-20,-16,-45,-45,-24,54.33887999999999,55.614000000000004,1.5,0
13915,-174,-6,-9,-39,-29,-59,-32,13.234199999999998,16.7256,0.0,0
13916,-75,25,-35,-75,25,-60,45,18.194769230769232,31.740000000000002,-0.5,1
13917,-240,-37,-75,-55,-30,-50,7,24.012,33.12,0.0,1
13918,46,27,-28,-7,39,34,-19,33.54760563380281,43.962857142857146,0.0,0
13919,-75,-30,-35,20,-30,-15,15,57.40800000000001,42.8352,0.0,1
13920,-180,-95,-35,-30,15,5,-40,24.150000000000002,15.392307692307693,-0.5,0
13921,-65,20,0,-5,-15,-30,-35,39.19199999999999,43.47811764705882,0.0,0
13922,-13,5,5,-10,-14,-9,10,27.048000000000002,21.583199999999998,0.0,1
13923,200,41,-3,15,64,25,58,53.204307692307694,68.3376,0.0,0
13924,171,12,14,22,41,19,63,34.90588235294118,57.40800000000001,0.0,1
13925,-130,-35,-25,-30,-5,-30,-5,14.1312,14.1312,0.0,0
13926,0,-50,-55,-30,70,-5,70,55.964307692307685,143.96159999999998,1.0,1
13927,-55,20,28,-88,8,-83,60,32.38595744680851,34.776,-0.5,1
13928,125,30,5,-25,35,25,55,58.809230769230766,83.72,0.5,1
13929,117,5,30,27,5,10,40,20.554736842105264,31.740000000000002,0.0,1
13930,-5,-13,-50,20,30,50,-42,129.3888,98.82146341463414,2.0,1
13931,240,56,60,13,59,13,39,37.27452631578947,38.79164835164835,0.0,0
13932,157,40,55,10,30,15,7,172.06628571428573,134.55,1.5,1
13933,-185,-39,-35,-25,-45,-10,-31,10.852319999999999,16.56,-1.5,0
13934,-168,-50,-25,-40,-8,-35,-10,11.789142857142856,16.99371428571429,-1.5,0
13935,-25,5,15,10,-10,-35,-10,27.048000000000002,27.048000000000002,-1.0,0
13936,32,7,-10,-5,-35,25,50,35.144,55.751999999999995,0.0,1
13937,0,-4,-25,-5,-15,5,44,39.19199999999999,55.64516129032258,0.0,1
13938,-280,-20,-61,-34,-14,-66,-85,43.239999999999995,10.856000000000002,0.0,0
13939,-164,-4,-60,-15,-5,-5,-75,30.084000000000003,25.024,0.0,0
13940,5,-5,-28,-15,12,-15,56,0.0,0.0,-2.0,0
13941,225,21,54,30,101,50,-31,85.56,77.76705882352941,0.0,0
13942,-23,-5,-4,-25,16,-25,20,16.250204081632653,17.572,-0.5,1
13943,95,70,25,25,15,30,-70,28.704000000000004,16.56,-1.5,0
13944,15,14,-35,10,10,20,-4,24.936,28.104,0.0,0
13945,-170,-20,5,-31,-60,-41,-23,17.7162947368421,24.619199999999996,0.0,0
13946,-1,6,10,10,-15,-2,-10,28.441573770491804,24.098742857142863,-1.0,0
13947,-146,-5,-80,-53,-10,12,-10,47.93567999999999,32.87712,0.0,0
13948,-75,-40,-55,-5,30,-20,15,83.98892307692307,122.1024,1.0,1
13949,-12,-31,9,-15,-5,10,20,48.300000000000004,124.19999999999999,-1.0,1
13950,15,-12,18,-15,33,13,-22,48.300000000000004,33.93377319587629,0.0,0
13951,-160,-19,-46,-38,14,-41,-30,19.170810810810806,39.19199999999999,0.0,0
13952,-55,5,-23,48,-25,10,-70,50.40184615384615,27.687157894736842,0.0,0
13953,-20,-5,-10,-40,45,-20,10,67.97485714285716,102.67200000000001,1.0,1
13954,129,5,-6,39,9,51,31,70.7664,50.023135135135135,0.0,1
13955,5,90,55,-125,45,-135,75,385.29599999999994,694.9680000000001,-1.0,1
13956,-21,-22,-25,0,5,-30,51,44.79692307692307,53.76480000000001,0.0,1
13957,29,-34,24,-34,29,-19,63,25.248888888888892,93.84,0.0,1
13958,-16,43,41,-101,24,-77,54,27.34748936170213,38.419200000000004,-0.5,1
13959,20,5,10,5,55,-45,-10,34.638000000000005,30.084000000000003,0.0,0
13960,170,-2,60,85,26,3,-2,43.884,36.20470588235294,0.0,0
13961,49,35,25,20,15,-45,-1,21.4176,15.69257142857143,0.0,0
13962,155,35,35,60,15,25,-15,121.16399999999999,42.228,0.0,0
13963,130,35,30,15,25,15,10,39.19199999999999,32.76282352941177,0.0,1
13964,60,20,10,25,45,-30,-10,71.0976,78.38399999999999,1.0,0
13965,10,-25,-10,-5,35,-5,20,143.15200000000002,82.938,1.0,1
13966,4,-9,-25,2,25,22,-11,43.828799999999994,44.8363943661972,0.0,0
13967,195,29,63,27,35,0,41,21.873,25.668000000000003,-1.5,1
13968,-150,20,-74,4,-70,-5,-25,23.035199999999996,20.183999999999997,0.0,0
13969,-125,-26,15,-12,-30,-59,-13,27.048000000000002,26.37333333333333,0.0,0
13970,63,25,0,3,25,20,-10,40.75337142857143,49.60114285714286,0.0,0
13971,-43,12,5,-80,0,-20,40,27.687157894736842,105.98399999999998,0.0,1
13972,305,45,28,63,50,75,44,107.50200000000001,104.94731707317072,0.0,1
13973,-95,-7,-109,-40,41,-5,25,142.14000000000001,102.67200000000001,1.5,1
13974,125,15,70,45,5,-15,5,14.052,16.719789473684212,0.0,1
13975,-268,-30,-50,-150,-29,-29,20,10.488,12.673919999999997,-0.5,0
13976,40,-20,5,32,-5,32,-4,19.099200000000003,23.036800000000003,-0.5,0
13977,-28,-4,12,-10,-5,-30,9,65.21485714285714,33.12,0.0,1
13978,-350,-41,-71,-44,-101,-59,-34,8.18064,12.49176,0.0,0
13979,-170,-15,-25,-85,-5,-35,-5,25.179692307692306,35.144,0.0,0
